record_type,snapshot_label,package,package_a,package_b,category,in_degree,out_degree,total_degree,pagerank,community,shared_dep_count,shared_dependency_similarity,same_community,centrality_balance,alt_score
node_metric,2023_end,nvidia-cufft-cu12,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,nvidia-curand-cu12,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,nvidia-cusolver-cu12,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,nvidia-cusparse-cu12,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,nvidia-nccl-cu12,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,nvidia-nvtx-cu12,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,sympy,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,triton,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,trl,,,Model Runtime,0.0,6.0,6.0,0.0049538219478653,2.0,,,,,
node_metric,2023_end,tyro,,,dependency,1.0,0.0,1.0,0.005655625589951,2.0,,,,,
node_metric,2023_end,vllm,,,Model Runtime,0.0,14.0,14.0,0.0049538219478653,4.0,,,,,
node_metric,2023_end,aioprometheus,,,dependency,1.0,0.0,1.0,0.0052545949373306,4.0,,,,,
node_metric,2023_end,ninja,,,dependency,1.0,0.0,1.0,0.0052545949373306,4.0,,,,,
node_metric,2023_end,ray,,,dependency,1.0,0.0,1.0,0.0052545949373306,4.0,,,,,
node_metric,2023_end,sentencepiece,,,Model Runtime,1.0,0.0,1.0,0.0052545949373306,4.0,,,,,
node_metric,2023_end,xformers,,,dependency,1.0,0.0,1.0,0.0052545949373306,4.0,,,,,
node_metric,2023_end,chromadb,,,RAG/Vector DB,0.0,27.0,27.0,0.0049538219478653,3.0,,,,,
node_metric,2023_end,bcrypt,,,dependency,1.0,0.0,1.0,0.0051097783127732,3.0,,,,,
node_metric,2023_end,chroma-hnswlib,,,dependency,1.0,0.0,1.0,0.0051097783127732,3.0,,,,,
node_metric,2023_end,graphlib-backport,,,dependency,1.0,0.0,1.0,0.0051097783127732,3.0,,,,,
node_metric,2023_end,grpcio,,,dependency,2.0,0.0,2.0,0.0057113242917038,1.0,,,,,
node_metric,2023_end,kubernetes,,,dependency,1.0,0.0,1.0,0.0051097783127732,3.0,,,,,
node_metric,2023_end,mmh3,,,dependency,1.0,0.0,1.0,0.0051097783127732,3.0,,,,,
node_metric,2023_end,onnxruntime,,,dependency,1.0,0.0,1.0,0.0051097783127732,3.0,,,,,
node_metric,2023_end,opentelemetry-api,,,dependency,1.0,0.0,1.0,0.0051097783127732,3.0,,,,,
node_metric,2023_end,opentelemetry-exporter-otlp-proto-grpc,,,dependency,1.0,0.0,1.0,0.0051097783127732,3.0,,,,,
node_metric,2023_end,opentelemetry-instrumentation-fastapi,,,dependency,1.0,0.0,1.0,0.0051097783127732,3.0,,,,,
